Store,n_holiday,n_non_holiday,holiday_mean,non_hol_mean,holiday_lift,lift_pct
1,10,133,1665747.66,1546957.39,1.0768,7.68
2,10,133,2079266.9,1914208.81,1.0862,8.62
3,10,133,437811.05,400064.85,1.0944,9.44
4,10,133,2243102.62,2083555.84,1.0766,7.66
5,10,133,359501.61,314892.28,1.1417,14.17
6,10,133,1680907.93,1555992.87,1.0803,8.03
7,10,133,672400.26,562964.45,1.1944,19.44
8,10,133,975330.86,903743.4,1.0792,7.92
9,10,133,588950.82,540599.33,1.0894,8.94
10,10,133,2113755.95,1883309.43,1.1224,12.24
11,10,133,1448394.48,1349464.98,1.0733,7.33
12,10,133,1138140.42,999291.92,1.1389,13.89
13,10,133,2113043.81,1995392.98,1.059,5.9
14,10,133,2120583.0,2013489.33,1.0532,5.32
15,10,133,706406.02,617064.84,1.1448,14.48
16,10,133,566733.65,515677.36,1.099,9.9
17,10,133,979796.97,887099.02,1.1045,10.45
18,10,133,1169422.16,1078349.72,1.0845,8.45
19,10,133,1577046.73,1435070.64,1.0989,9.89
20,10,133,2249035.08,2097048.43,1.0725,7.25
21,10,133,826491.31,750774.18,1.1009,10.09
22,10,133,1084874.66,1024262.42,1.0592,5.92
23,10,133,1462542.29,1384399.96,1.0564,5.64
24,10,133,1475098.25,1347857.43,1.0944,9.44
25,10,133,739676.84,704243.69,1.0503,5.03
26,10,133,1072046.85,997713.72,1.0745,7.45
27,10,133,1892299.28,1766412.96,1.0713,7.13
28,10,133,1478244.6,1311888.98,1.1268,12.68
29,10,133,606957.89,534375.76,1.1358,13.58
30,10,133,436859.31,438708.96,0.9958,-0.42
31,10,133,1500026.03,1388072.52,1.0807,8.07
32,10,133,1203784.08,1163769.96,1.0344,3.44
33,10,133,262594.52,259656.22,1.0113,1.13
34,10,133,1041978.09,961127.69,1.0841,8.41
35,10,133,1074348.46,908099.15,1.1831,18.31
36,10,133,367640.63,373953.45,0.9831,-1.69
37,10,133,507525.05,519755.56,0.9765,-2.35
38,10,133,381509.88,386049.08,0.9882,-1.18
39,10,133,1551127.48,1443114.79,1.0748,7.48
40,10,133,1008034.08,960826.83,1.0491,4.91
41,10,133,1334947.86,1263101.18,1.0569,5.69
42,10,133,567694.16,555554.97,1.0219,2.19
43,10,133,635946.28,633127.61,1.0045,0.45
44,10,133,296035.6,303253.62,0.9762,-2.38
45,10,133,836293.71,782198.53,1.0692,6.92
