Store,CPI,Fuel_Price,Holiday_Flag,Temperature,Unemployment
1,5.77,2.71,1.06,1.14,3.36
2,29.13,3.67,1.05,1.13,20.54
3,12.57,4.81,1.05,1.19,6.31
4,23.62,4.63,1.05,1.3,16.58
5,13.28,3.59,1.06,1.22,8.04
6,16.83,3.31,1.05,1.13,11.17
7,11.71,2.88,1.07,1.23,11.47
8,10.25,3.46,1.06,1.12,5.7
9,16.76,3.84,1.06,1.13,10.14
10,26.05,6.69,1.05,1.23,15.35
11,12.5,4.78,1.05,1.17,6.24
12,16.08,7.75,1.05,1.22,5.62
13,47.93,7.59,1.04,1.84,29.44
14,2.98,3.83,1.04,1.2,2.26
15,5.36,6.75,1.04,1.12,2.05
16,8.32,4.73,1.06,1.18,13.08
17,8.06,6.38,1.05,1.75,2.36
18,15.82,3.68,1.06,1.82,9.97
19,5.43,6.79,1.04,1.14,2.05
20,3.25,3.21,1.04,1.08,2.52
21,29.12,3.68,1.05,1.14,20.51
22,13.79,3.99,1.04,1.3,7.31
23,23.53,3.66,1.04,1.1,25.28
24,11.72,4.43,1.05,1.17,5.17
25,3.25,3.21,1.04,1.07,2.52
26,19.26,4.63,1.04,2.12,24.13
27,6.21,5.85,1.04,1.12,1.81
28,16.08,7.75,1.05,1.22,5.62
29,11.84,3.69,1.05,1.46,6.58
30,29.12,3.68,1.05,1.14,20.51
31,29.12,3.68,1.05,1.14,20.51
32,11.51,3.02,1.07,1.22,10.87
33,25.37,6.55,1.04,1.2,15.06
34,6.51,6.56,1.05,1.14,1.7
35,3.96,5.09,1.04,1.12,1.71
36,27.47,4.47,1.06,1.18,17.67
37,27.27,4.41,1.06,1.21,17.73
38,16.08,7.75,1.05,1.22,5.62
39,27.11,4.43,1.05,1.2,17.52
40,23.58,3.66,1.05,1.1,25.36
41,16.35,3.34,1.06,1.21,19.06
42,26.05,6.69,1.05,1.23,15.35
43,5.55,4.98,1.06,1.12,2.37
44,53.04,7.43,1.04,1.82,33.99
45,2.98,3.83,1.04,1.2,2.26
